Agent ID,Agent Name,Agent Type,taxonomy ID,txonomy level,Lineage,Agent properties,HAMAP,Viralzone,GOLD
Actinobacillus pleuropneumoniae Serotype 1,Actinobacillus pleuropneumoniae Serotype 1,Bacterium,40325,0,"[<a href=""/agents/1""> Actinobacillus</a>, <a href=""/agents/2""> pleuropneumoniae</a>, <a href=""/agents/3""> Serotype 1</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>]","
            -
		    ",,
Actinobacillus pleuropneumoniae Serotype 2,Actinobacillus pleuropneumoniae Serotype 2,Bacterium,34063,0,"[<a href=""/agents/1""> Actinobacillus</a>, <a href=""/agents/2""> pleuropneumoniae</a>, <a href=""/agents/4""> Serotype 2</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>]","
            -
		    ",,
Actinomyces naeslundii ATCC 12104,Actinomyces naeslundii ATCC 12104,Bacterium,1655,0,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/11""> ATCC 12104</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            ACTNA
		    ",,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=4264"" target=""_new"">4264</a></p>]"
Actinomyces naeslundii N/S,Actinomyces naeslundii N/S,Bacterium,1655,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/8""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>]","
            -
		    ",,
Actinomyces naeslundii N/S,Actinomyces naeslundii N/S,Bacterium,1655,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/10""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            -
		    ",,
Actinomyces naeslundii N/S,Actinomyces naeslundii N/S,Bacterium,1655,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/7""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>]","
            -
		    ",,
Actinomyces naeslundii WVU45,Actinomyces naeslundii WVU45,Bacterium,1655,0,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/9""> WVU45</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            ACTNA
		    ",,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=4264"" target=""_new"">4264</a></p>]"
Actinomyces naeslundii WVU45,Actinomyces naeslundii WVU45,Bacterium,1655,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/12""> WVU45</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            ACTNA
		    ",,
Actinomyces spp.,Actinomyces spp.,Bacterium,29317,0,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/13""> spp.</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            -
		    ",,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=4304"" target=""_new"">4304</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=34316"" target=""_new"">34316</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=34317"" target=""_new"">34317</a></p>]"
Actinomyces viscosus,Actinomyces viscosus,Bacterium,1656,0,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/14""> viscosus</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            ACTVI
		    ",,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=33249"" target=""_new"">33249</a></p>]"
Actinomyces viscosus ATCC 19246,Actinomyces viscosus ATCC 19246,Bacterium,1656,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/14""> viscosus</a>, <a href=""/agents/16""> ATCC 19246</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            -
		    ",,
Actinomyces viscosus N/S,Actinomyces viscosus N/S,Bacterium,1656,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/14""> viscosus</a>, <a href=""/agents/15""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            -
		    ",,
Adenovirus Human adenovirus D 19,Adenovirus Human adenovirus D 19,Virus,28278,0,"[<a href=""/agents/562""> Adenovirus</a>, <a href=""/agents/563""> Human adenovirus D</a>, <a href=""/agents/565""> 19</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/45"">I - dsDNA viruses</a> </p>]","
            -
		    ",,
Adenovirus Human adenovirus D 37,Adenovirus Human adenovirus D 37,Virus,52275,0,"[<a href=""/agents/562""> Adenovirus</a>, <a href=""/agents/563""> Human adenovirus D</a>, <a href=""/agents/564""> 37</a>]","[<p> <a href=""/agentPropertyTypes/12"">Baltimore classification</a> : <a href=""/agentProperties/45"">I - dsDNA viruses</a> </p>]","
            -
		    ",,
Bordetella pertussis,Bordetella pertussis,Bacterium,520,0,"[<a href=""/agents/17""> Bordetella</a>, <a href=""/agents/18""> pertussis</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/5"">Cell coat</a> : <a href=""/agentProperties/8"">Encapsulated</a> </p>]","
            BORPT
		    ",,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=106022"" target=""_new"">106022</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=106023"" target=""_new"">106023</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=108857"" target=""_new"">108857</a></p>]"
Bordetella pertussis N/S,Bordetella pertussis N/S,Bacterium,520,1,"[<a href=""/agents/17""> Bordetella</a>, <a href=""/agents/18""> pertussis</a>, <a href=""/agents/19""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>, <p> <a href=""/agentPropertyTypes/5"">Cell coat</a> : <a href=""/agentProperties/8"">Encapsulated</a> </p>]","
            -
		    ",,
