Lectin ID,Agent ID
172,135
141,120
712,509
179,137
60,30
108,89
109,89
580,406
104,78
628,438
669,462
724,528
670,463
583,411
68,36
331,207
336,210
318,204
743,548
178,136
753,566
749,555
748,553
196,146
148,127
146,125
235,152
142,121
143,122
150,129
236,152
147,126
582,410
584,411
617,432
615,431
195,145
47,18
220,151
747,550
746,549
126,115
752,565
751,564
187,142
648,448
199,149
484,352
184,141
183,140
238,152
144,123
360,224
689,489
392,246
391,245
389,243
374,231
393,248
390,244
375,235
395,252
397,254
396,253
394,250
400,258
399,257
398,256
414,270
410,264
415,271
411,266
412,268
413,269
402,260
409,263
401,259
418,274
416,272
417,273
437,293
438,294
439,295
440,297
434,290
433,289
432,288
431,287
430,286
429,285
428,284
441,298
427,283
426,282
425,281
424,280
423,279
422,278
442,299
421,277
443,300
444,301
445,303
446,304
447,306
448,308
420,276
435,291
436,292
449,310
450,312
451,313
452,315
453,317
454,319
458,323
457,322
461,327
456,321
459,325
460,326
455,320
472,339
473,340
474,341
475,342
476,343
467,334
466,333
465,332
464,331
468,335
469,336
470,337
471,338
463,330
462,329
96,67
99,68
98,68
95,67
97,67
94,65
122,108
371,229
124,109
287,185
337,211
686,487
189,144
217,151
218,151
219,151
123,108
722,525
605,419
250,158
251,160
252,160
253,160
254,160
255,162
256,164
257,164
258,164
259,164
260,165
261,165
262,165
263,165
264,165
265,165
266,165
267,165
268,166
269,166
270,166
271,168
272,169
273,170
274,171
275,172
276,174
277,174
278,176
279,177
280,177
281,177
282,180
283,180
284,180
285,183
286,184
288,186
289,186
290,187
291,189
292,190
293,190
294,193
295,193
296,193
297,193
298,195
299,195
300,195
301,195
302,197
303,197
304,197
305,197
306,199
307,199
308,199
309,199
310,201
311,201
312,201
313,201
314,202
315,202
316,202
317,202
319,205
320,205
321,205
322,205
324,206
325,206
326,206
327,206
328,206
329,206
333,209
334,209
335,209
338,212
339,212
340,212
341,212
342,212
343,213
344,214
345,214
346,214
347,214
348,214
349,214
350,214
351,214
352,214
353,215
354,216
355,217
356,217
357,220
358,221
361,225
362,225
363,225
364,225
365,225
366,225
367,227
368,227
369,227
370,227
373,230
376,236
377,236
378,237
379,238
380,239
381,239
382,239
383,239
384,239
385,239
386,240
387,240
388,241
403,262
404,262
405,262
406,262
407,262
408,262
419,275
477,344
478,345
479,348
480,349
481,350
482,350
483,351
485,355
486,355
487,355
488,355
489,355
490,355
491,357
492,357
493,357
494,357
495,357
496,357
497,357
498,357
499,357
500,360
501,360
502,360
503,360
504,360
505,361
506,361
507,361
508,361
509,363
510,363
511,366
512,368
513,369
514,369
515,369
516,369
517,369
518,369
519,369
520,369
521,369
522,372
523,372
524,373
525,373
526,373
527,373
528,374
529,374
530,374
531,374
532,375
533,375
534,375
535,375
536,376
537,376
538,377
539,377
540,377
541,377
542,378
543,378
544,378
545,378
546,379
547,379
548,380
549,381
550,381
551,383
560,393
561,393
562,393
563,393
564,393
569,399
581,409
585,412
586,413
646,445
647,446
649,449
650,451
651,451
652,452
653,454
654,456
655,456
656,457
657,457
658,457
659,457
660,457
661,457
662,457
663,457
664,457
665,457
666,460
667,461
668,461
671,467
672,467
673,467
674,467
675,467
