Ligand ID,Structure ID,Structure link,Glytoucan ID,Glytoucan link
201,188,https://sugarbind.expasy.org/structures/188,G48236KP,https://glytoucan.org/Structures/Glycans/G48236KP
185,174,https://sugarbind.expasy.org/structures/174,G62593IS,https://glytoucan.org/Structures/Glycans/G62593IS
184,173,https://sugarbind.expasy.org/structures/173,G47812NS,https://glytoucan.org/Structures/Glycans/G47812NS
115,109,https://sugarbind.expasy.org/structures/109,G10203DW,https://glytoucan.org/Structures/Glycans/G10203DW
131,124,https://sugarbind.expasy.org/structures/124,G00065MO,https://glytoucan.org/Structures/Glycans/G00065MO
186,175,https://sugarbind.expasy.org/structures/175,G59168YE,https://glytoucan.org/Structures/Glycans/G59168YE
134,127,https://sugarbind.expasy.org/structures/127,G93779QZ,https://glytoucan.org/Structures/Glycans/G93779QZ
128,121,https://sugarbind.expasy.org/structures/121,G80722US,https://glytoucan.org/Structures/Glycans/G80722US
132,125,https://sugarbind.expasy.org/structures/125,G09376MR,https://glytoucan.org/Structures/Glycans/G09376MR
102,96,https://sugarbind.expasy.org/structures/96,G48600JD,https://glytoucan.org/Structures/Glycans/G48600JD
152,144,https://sugarbind.expasy.org/structures/144,G12068BR,https://glytoucan.org/Structures/Glycans/G12068BR
138,130,https://sugarbind.expasy.org/structures/130,G60645OK,https://glytoucan.org/Structures/Glycans/G60645OK
103,97,https://sugarbind.expasy.org/structures/97,G58507AZ,https://glytoucan.org/Structures/Glycans/G58507AZ
100,94,https://sugarbind.expasy.org/structures/94,G88393MK,https://glytoucan.org/Structures/Glycans/G88393MK
101,95,https://sugarbind.expasy.org/structures/95,G60395SO,https://glytoucan.org/Structures/Glycans/G60395SO
151,143,https://sugarbind.expasy.org/structures/143,G94938PL,https://glytoucan.org/Structures/Glycans/G94938PL
203,190,https://sugarbind.expasy.org/structures/190,G17108EX,https://glytoucan.org/Structures/Glycans/G17108EX
85,70,https://sugarbind.expasy.org/structures/70,G07982RO,https://glytoucan.org/Structures/Glycans/G07982RO
14,14,https://sugarbind.expasy.org/structures/14,G37184KW,https://glytoucan.org/Structures/Glycans/G37184KW
22,22,https://sugarbind.expasy.org/structures/22,G46677TE,https://glytoucan.org/Structures/Glycans/G46677TE
59,57,https://sugarbind.expasy.org/structures/57,G97932OH,https://glytoucan.org/Structures/Glycans/G97932OH
42,40,https://sugarbind.expasy.org/structures/40,G97569KL,https://glytoucan.org/Structures/Glycans/G97569KL
114,108,https://sugarbind.expasy.org/structures/108,G57920AK,https://glytoucan.org/Structures/Glycans/G57920AK
86,80,https://sugarbind.expasy.org/structures/80,G82576YO,https://glytoucan.org/Structures/Glycans/G82576YO
12,12,https://sugarbind.expasy.org/structures/12,G99053DY,https://glytoucan.org/Structures/Glycans/G99053DY
31,29,https://sugarbind.expasy.org/structures/29,G62763GO,https://glytoucan.org/Structures/Glycans/G62763GO
79,30,https://sugarbind.expasy.org/structures/30,G67988RO,https://glytoucan.org/Structures/Glycans/G67988RO
32,30,https://sugarbind.expasy.org/structures/30,G67988RO,https://glytoucan.org/Structures/Glycans/G67988RO
7,7,https://sugarbind.expasy.org/structures/7,G68158BT,https://glytoucan.org/Structures/Glycans/G68158BT
187,82,https://sugarbind.expasy.org/structures/82,G65889KE,https://glytoucan.org/Structures/Glycans/G65889KE
195,183,https://sugarbind.expasy.org/structures/183,G68158BT,https://glytoucan.org/Structures/Glycans/G68158BT
1,1,https://sugarbind.expasy.org/structures/1,G65889KE,https://glytoucan.org/Structures/Glycans/G65889KE
58,56,https://sugarbind.expasy.org/structures/56,G05357CB,https://glytoucan.org/Structures/Glycans/G05357CB
2,2,https://sugarbind.expasy.org/structures/2,G21856LC,https://glytoucan.org/Structures/Glycans/G21856LC
4,4,https://sugarbind.expasy.org/structures/4,G90562PB,https://glytoucan.org/Structures/Glycans/G90562PB
188,176,https://sugarbind.expasy.org/structures/176,G59508TM,https://glytoucan.org/Structures/Glycans/G59508TM
18,18,https://sugarbind.expasy.org/structures/18,G00061MO,https://glytoucan.org/Structures/Glycans/G00061MO
137,27,https://sugarbind.expasy.org/structures/27,G04616ST,https://glytoucan.org/Structures/Glycans/G04616ST
27,25,https://sugarbind.expasy.org/structures/25,G00059MO,https://glytoucan.org/Structures/Glycans/G00059MO
192,180,https://sugarbind.expasy.org/structures/180,G15021LG,https://glytoucan.org/Structures/Glycans/G15021LG
