Lectin ID,Affect ID
141,3
712,3
60,3
108,20
109,20
104,3
724,3
670,3
583,3
68,11
331,24
336,24
318,24
743,1
753,17
148,3
146,23
235,3
235,22
142,23
143,23
150,3
150,23
236,3
236,22
147,23
582,3
584,3
47,3
220,4
126,3
751,3
238,3
238,22
144,23
360,7
392,27
391,27
389,3
374,3
393,3
390,3
375,25
395,3
397,3
396,3
394,3
400,3
399,3
398,3
414,3
410,3
415,3
411,27
412,3
413,3
402,3
409,3
401,3
418,25
416,3
417,3
437,3
438,3
439,3
440,3
434,3
433,3
432,3
431,3
430,3
429,3
428,3
441,3
427,3
426,3
425,3
424,3
423,3
422,3
442,3
421,3
443,3
444,3
445,3
446,3
447,3
448,3
420,3
435,3
436,3
449,3
450,3
451,3
452,3
453,3
454,3
458,3
457,3
461,3
456,3
459,3
460,3
455,3
472,3
473,3
474,27
475,3
476,3
467,3
466,3
465,3
464,3
468,3
469,3
470,3
471,3
463,3
462,3
96,3
99,3
98,3
95,3
97,3
94,3
122,3
371,3
124,3
337,24
217,4
218,4
219,4
123,3
722,3
605,3
282,3
283,3
284,3
319,24
320,24
321,24
322,24
324,24
325,24
326,24
327,24
328,24
329,24
333,24
334,24
335,24
338,24
339,24
340,24
341,24
342,24
343,24
344,24
345,24
346,24
347,24
348,24
349,24
350,24
351,24
352,24
353,24
354,24
355,24
356,24
357,3
358,3
361,3
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,3
373,3
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,3
403,3
404,3
405,3
406,3
407,3
408,3
419,3
477,3
478,3
479,3
480,3
481,3
482,3
483,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
511,3
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,3
560,33
561,33
562,33
563,33
564,33
569,3
581,3
646,3
647,3
650,3
651,3
652,3
653,3
666,3
667,3
668,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
694,3
695,3
696,3
697,3
698,3
572,3
700,3
701,3
702,3
703,3
704,3
707,3
708,3
709,3
713,3
714,3
718,3
720,3
721,3
723,3
725,3
726,3
727,3
728,3
729,3
730,3
731,3
732,3
733,3
734,3
735,3
736,3
737,3
738,3
744,4
745,4
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,3
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,5
29,9
29,10
30,5
30,9
30,10
31,5
31,9
31,10
32,5
32,9
32,10
33,5
33,9
33,10
34,5
34,9
34,10
35,5
35,9
35,10
36,5
36,9
36,10
37,5
37,9
37,10
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
48,3
51,3
52,3
53,3
54,3
61,3
62,3
63,3
699,3
573,3
575,3
570,3
574,3
576,3
579,3
578,3
577,3
571,3
1,2
64,3
687,9
687,10
688,9
688,10
614,3
65,3
66,3
67,3
69,14
70,14
71,14
72,14
73,14
74,14
75,14
76,14
77,14
78,14
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
93,3
102,3
103,3
106,19
106,4
107,20
110,20
111,20
112,20
113,20
114,20
115,20
117,3
118,3
119,3
120,3
121,3
127,22
128,22
129,22
130,22
131,22
132,22
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
149,3
151,3
151,23
152,3
152,23
153,3
153,23
154,3
154,23
155,3
155,23
156,3
156,23
157,3
157,23
158,3
158,23
159,3
168,3
92,3
101,3
221,3
221,22
224,3
224,22
226,3
226,22
227,3
227,22
228,3
228,22
229,3
229,22
230,3
230,22
231,3
231,22
232,3
232,22
233,3
233,22
234,3
234,22
100,15
711,3
710,3
742,3
225,3
225,22
237,3
237,22
145,3
222,3
222,22
223,3
223,22
49,3
50,3
323,24
332,24
330,24
105,18
715,34
716,20
717,20
555,33
552,33
557,33
558,33
559,33
565,33
566,33
567,33
568,33
553,33
554,33
556,33
630,33
636,33
754,33
750,33
631,33
641,33
